village_code,village_name,district,taluka,population_2011,households_2011,total_workers,cultivators,agri_labourers,hhi_workers,other_workers
556078,Disali,Pune,Mulshi,278,54,124,48,31,5,35
555465,Gangapur Kh.,Pune,Ambegaon,1566,339,826,649,71,11,48
556479,Pandeshwar,Pune,Purandhar,1900,403,1120,757,190,20,122
555289,Khadkumbe,Pune,Junnar,572,125,338,91,241,0,3
556736,Sangamner,Pune,Bhor,1959,418,979,203,443,13,284
556671,Gunjavane,Pune,Velhe,703,120,328,125,48,0,44
555632,Wadhu Bk.,Pune,Shirur,5700,1056,3083,1772,131,149,840
555916,Brahmanwadi,Pune,Mawal,834,145,478,174,94,2,91
556256,Gorhe Bk.,Pune,Haveli,3178,691,1032,131,38,18,818
556952,Pandare,Pune,Baramati,7440,1494,2900,626,1159,70,782
557103,Bedshinge,Pune,Indapur,759,183,486,328,111,6,33
556057,Visakhar,Pune,Mulshi,171,29,54,18,2,3,31
555832,Mahalunge,Pune,Khed,9687,2640,5635,398,263,48,4421
556415,Malwadi,Pune,Daund,564,120,335,155,29,6,54
556676,Ranje,Pune,Bhor,1386,285,708,152,23,10,186
555913,Ghonshet,Pune,Mawal,1328,236,552,114,12,10,151
555851,Kelgaon,Pune,Khed,3491,759,1434,228,227,34,711
556975,Baramati Rural,Pune,Baramati,19387,4215,7255,725,916,278,4373
